City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Komsomolskiy,UZ,40.4272,71.7189,20.12,79,88,4.61,mist
295,Monchegorsk,RU,67.9397,32.8739,20.44,94,100,10.51,overcast clouds
296,Matay,EG,28.419,30.7792,57.36,37,0,4.76,clear sky
297,Lavrentiya,RU,65.5833,-171.0,-22.63,94,9,7.29,clear sky
298,Sambava,MG,-14.2667,50.1667,76.3,95,100,31.09,heavy intensity rain
299,Abnub,EG,27.2696,31.1511,57.42,35,0,3.74,clear sky
300,Mayo,US,38.8876,-76.5119,58.08,50,0,16.11,clear sky
301,Norman Wells,CA,65.282,-126.8329,-3.96,77,100,3.44,overcast clouds
302,Champerico,GT,14.3,-91.9167,90.14,55,36,10.85,scattered clouds
303,Riyadh,SA,24.6877,46.7219,51.94,51,77,8.32,broken clouds
304,Alta Floresta,BR,-9.8756,-56.0861,79.18,87,100,3.13,overcast clouds
305,Barranca,PE,-10.75,-77.7667,74.1,68,52,11.12,broken clouds
306,Saint-Paul,RE,-21.0096,55.2707,84.99,100,100,1.99,light rain
307,Nisia Floresta,BR,-6.0911,-35.2086,79.61,68,81,11.36,broken clouds
308,Road Town,VG,18.4167,-64.6167,80.69,65,75,5.75,broken clouds
309,Macenta,GN,8.5435,-9.471,75.45,18,100,3.67,overcast clouds
310,Deloraine,AU,-41.5333,146.6667,50.14,78,10,3.36,clear sky
311,Naze,JP,28.3667,129.4833,52.72,66,97,9.01,overcast clouds
312,Tekeli,KZ,44.83,78.8239,16.57,52,0,9.75,clear sky
313,Severo-Kurilsk,RU,50.6789,156.125,15.46,61,100,25.75,light snow
314,Comodoro Rivadavia,AR,-45.8667,-67.5,80.46,47,20,10.36,few clouds
315,Takoradi,GH,4.8845,-1.7554,80.4,84,75,9.82,broken clouds
316,Padang,ID,-0.9492,100.3543,75.25,88,100,4.05,overcast clouds
317,Biak,ID,-0.9131,122.8766,76.17,82,99,3.8,overcast clouds
318,San Patricio,US,28.017,-97.5169,85.86,54,87,15.01,overcast clouds
319,Alegrete,BR,-29.7831,-55.7919,101.5,21,30,4.29,scattered clouds
320,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,78.73,83,75,4.61,moderate rain
321,Thunder Bay,CA,48.4001,-89.3168,22.98,74,100,5.75,overcast clouds
322,Vaitape,PF,-16.5167,-151.75,80.33,74,22,15.35,light rain
323,Constantine,DZ,36.365,6.6147,42.21,56,40,8.05,scattered clouds
324,Tinskoy,RU,56.1525,96.9161,-34.6,100,46,2.86,scattered clouds
325,Vertientes,CU,21.2594,-78.1464,84.81,29,0,8.28,clear sky
326,Srednekolymsk,RU,67.45,153.6833,-31.77,98,100,4.52,overcast clouds
327,Anchorage,US,61.2181,-149.9003,26.31,90,20,9.22,fog
328,Sur,OM,22.5667,59.5289,72.1,79,78,10.38,broken clouds
329,Bairiki,KI,1.3292,172.9752,77.0,94,75,9.22,light intensity shower rain
330,Miri,MY,4.4148,114.0089,75.34,94,40,6.91,light rain
331,Guerrero Negro,MX,27.9769,-114.0611,61.03,51,98,13.2,overcast clouds
332,Taree,AU,-31.9,152.4667,71.06,90,95,1.74,overcast clouds
333,Myre,NO,69.1036,15.9492,31.95,64,100,11.97,overcast clouds
